W01000895,W06000012,928,Llansawel Dwyrain 2,Briton Ferry East 2,,
W01000896,W06000012,929,Llansawel Gorllewin 1,Briton Ferry West 1,,
W01000897,W06000012,930,Llansawel Gorllewin 2,Briton Ferry West 2,,
W01000898,W06000012,952,Bryn a Chwmafan 1,Bryn and Cwmavon 1,,
W01000899,W06000012,953,Bryn a Chwmafan 2,Bryn and Cwmavon 2,,
W01000900,W06000012,954,Bryn a Chwmafan 3,Bryn and Cwmavon 3,,
W01000901,W06000012,955,Bryn a Chwmafan 4,Bryn and Cwmavon 4,,
W01000902,W06000012,899,Bryn-coch Gogledd 1,Bryn-coch North 1,,
W01000903,W06000012,900,Bryn-coch Gogledd 2,Bryn-coch North 2,,
W01000904,W06000012,901,Bryn-coch De 1,Bryn-coch South 1,,
W01000905,W06000012,902,Bryn-coch De 2,Bryn-coch South 2,,
W01000906,W06000012,904,Bryn-coch De 3,Bryn-coch South 3,,
W01000907,W06000012,905,Bryn-coch De 4,Bryn-coch South 4,,
W01000908,W06000012,903,Llangatwg,Cadoxton,,
W01000909,W06000012,908,Cimla 1,Cimla 1,,
W01000910,W06000012,909,Cimla 2,Cimla 2,,
W01000911,W06000012,910,Cimla 3,Cimla 3,,
W01000912,W06000012,917,Coed-ffranc Canol 1,Coedffranc Central 1,,
W01000913,W06000012,918,Coed-ffranc Canol 2,Coedffranc Central 2,,
W01000914,W06000012,919,Coed-ffranc Canol 3,Coedffranc Central 3,,
W01000915,W06000012,920,Coed-ffranc Gogledd 1,Coedffranc North 1,,
W01000916,W06000012,921,Coed-ffranc Gogledd 2,Coedffranc North 2,,
W01000917,W06000012,922,Coed-ffranc Gorllewin,Coedffranc West,,
W01000918,W06000012,966,Creunant,Crynant,,
W01000919,W06000012,976,Cwmllynfell,Cwmllynfell,,
W01000920,W06000012,948,Cymer (Castell-nedd Port Talbot) 1,Cymmer (Neath Port Talbot) 1,,
W01000921,W06000012,949,Cymer (Castell-nedd Port Talbot) 2,Cymmer (Neath Port Talbot) 2,,
W01000922,W06000012,906,Dyffryn 1,Dyffryn 1,,
W01000923,W06000012,907,Dyffryn 2,Dyffryn 2,,
W01000924,W06000012,950,Glyncorrwg,Glyncorrwg,,
W01000925,W06000012,893,Glyn-nedd 1,Glynneath 1,,
W01000926,W06000012,894,Glyn-nedd 2,Glynneath 2,,
W01000927,W06000012,977,Godre'r graig,Godre'r graig,,
W01000928,W06000012,978,Gwauncaegurwen 1,Gwaun-Cae-Gurwen 1,,
W01000929,W06000012,979,Gwauncaegurwen 2,Gwaun-Cae-Gurwen 2,,
W01000930,W06000012,951,Gwynfi,Gwynfi,,
W01000931,W06000012,980,Brynaman Isaf,Lower Brynamman,,
W01000932,W06000012,962,Margam 1,Margam 1,,
W01000933,W06000012,963,Margam 2,Margam 2,,
W01000934,W06000012,912,Castell-Nedd Dwyrain 1,Neath East 1,,
W01000935,W06000012,913,Castell-Nedd Dwyrain 2,Neath East 2,,
W01000936,W06000012,923,Castell-Nedd Dwyrain 3,Neath East 3,,
W01000937,W06000012,931,Castell-Nedd Dwyrain 4,Neath East 4,,
W01000938,W06000012,914,Castell-Nedd Gogledd 1,Neath North 1,,
W01000939,W06000012,915,Castell-Nedd Gogledd 2,Neath North 2,,
W01000940,W06000012,916,Castell-Nedd Gogledd 3,Neath North 3,,
W01000941,W06000012,924,Castell-Nedd De 1,Neath South 1,,
W01000942,W06000012,925,Castell-Nedd De 2,Neath South 2,,
W01000943,W06000012,926,Castell-Nedd De 3,Neath South 3,,
W01000944,W06000012,967,Onllwyn,Onllwyn,,
W01000945,W06000012,956,Pelenna,Pelenna,,
W01000946,W06000012,970,Pontardawe 1,Pontardawe 1,,
W01000947,W06000012,971,Pontardawe 2,Pontardawe 2,,
W01000948,W06000012,972,Pontardawe 3,Pontardawe 3,,
W01000949,W06000012,957,Port Talbot 1,Port Talbot 1,,
W01000950,W06000012,958,Port Talbot 2,Port Talbot 2,,
W01000951,W06000012,959,Port Talbot 3,Port Talbot 3,,
W01000952,W06000012,960,Port Talbot 4,Port Talbot 4,,
W01000953,W06000012,896,Resolfen 1,Resolven 1,,
W01000954,W06000012,897,Resolfen 2,Resolven 2,,
W01000955,W06000012,973,Rhos 1,Rhos 1,,
W01000956,W06000012,974,Rhos 2,Rhos 2,,
W01000957,W06000012,945,Sandfields Dwyrain 1,Sandfields East 1,,
W01000958,W06000012,937,Sandfields Dwyrain 2,Sandfields East 2,,
W01000959,W06000012,946,Sandfields Dwyrain 3,Sandfields East 3,,
W01000960,W06000012,947,Sandfields Dwyrain 4,Sandfields East 4,,
W01000961,W06000012,938,Sandfields Gorllewin 1,Sandfields West 1,,
W01000962,W06000012,939,Sandfields Gorllewin 2,Sandfields West 2,,
W01000963,W06000012,940,Sandfields Gorllewin 3,Sandfields West 3,,
W01000964,W06000012,941,Sandfields Gorllewin 4,Sandfields West 4,,
W01000965,W06000012,968,Blaendulais,Seven Sisters,,
W01000966,W06000012,961,Tai-bach 1,Tai-bach 1,,
W01000967,W06000012,964,Tai-bach 2,Tai-bach 2,,
W01000968,W06000012,965,Tai-bach 3,Tai-bach 3,,
W01000969,W06000012,911,Tonna 1,Tonna 1,,
W01000970,W06000012,898,Tonna 2,Tonna 2,,
W01000971,W06000012,975,Trebannws,Trebanos,,
W01000973,W06000012,981,Ystalyfera 2,Ystalyfera 2,,
W01000974,W06000013,1009,Abercynffig,Aberkenfig,,
W01000975,W06000013,1000,Betws (Pen-y-bont ar Ogwr),Bettws (Bridgend),,
W01000976,W06000013,994,Melin Ifan Ddu 1,Blackmill 1,,
W01000977,W06000013,995,Melin Ifan Ddu 2,Blackmill 2,,
W01000978,W06000013,1001,Blaengarw,Blaengarw,,
W01000979,W06000013,1037,Bracla 1,Brackla 1,,
W01000980,W06000013,1041,Bracla 2,Brackla 2,,
W01000981,W06000013,1042,Bracla 3,Brackla 3,,
W01000982,W06000013,1043,Bracla 4,Brackla 4,,
W01000983,W06000013,1038,Bracla 5,Brackla 5,,
W01000984,W06000013,1044,Bracla 6,Brackla 6,,
W01000985,W06000013,1039,Bracla 7,Brackla 7,,
W01000986,W06000013,1012,Brynceithin,Bryncethin,,
W01000987,W06000013,1013,Bryn-coch,Bryncoch,,
W01000989,W06000013,1029,Bryntirion Laleston a Merthyr Mawr 2,Bryntirion Laleston and Merthyr Mawr 2,,
W01000990,W06000013,1045,Bryntirion Laleston a Merthyr Mawr 3,Bryntirion Laleston and Merthyr Mawr 3,,
W01000991,W06000013,984,Caerau (Pen-y-bont ar Ogwr) 1,Caerau (Bridgend) 1,,
W01000992,W06000013,985,Caerau (Pen-y-bont ar Ogwr) 2,Caerau (Bridgend) 2,,
W01000993,W06000013,986,Caerau (Pen-y-bont ar Ogwr) 3,Caerau (Bridgend) 3,,
W01000994,W06000013,987,Caerau (Pen-y-bont ar Ogwr) 4,Caerau (Bridgend) 4,,
W01000995,W06000013,988,Caerau (Pen-y-bont ar Ogwr) 5,Caerau (Bridgend) 5,,
W01000996,W06000013,1052,Cefn Cribwr,Cefn Cribwr,,
W01000997,W06000013,1025,Cefn Glas,Cefn Glas,,
W01000998,W06000013,1022,Coety,Coity,,
W01000999,W06000013,1058,Corneli 1,Cornelly 1,,
W01001000,W06000013,1059,Corneli 2,Cornelly 2,,
W01001001,W06000013,1060,Corneli 3,Cornelly 3,,
W01001002,W06000013,1061,Corneli 4,Cornelly 4,,
W01001003,W06000013,1040,Llangrallo Isaf,Coychurch Lower,,
W01001004,W06000013,1016,Felindre 1,Felindre 1,,
W01001005,W06000013,1017,Felindre 2,Felindre 2,,
W01001006,W06000013,1018,Hendre (Pen-y-bont ar Ogwr) 1,Hendre (Bridgend) 1,,
W01001007,W06000013,1019,Hendre (Pen-y-bont ar Ogwr) 2,Hendre (Bridgend) 2,,
W01001008,W06000013,1023,Litchard,Litchard,,
W01001009,W06000013,1002,Llangeinwyr,Llangeinor,,
W01001010,W06000013,1026,Llangewydd a Brynhyfryd 1,Llangewydd and Brynhyfryd 1,,
W01001011,W06000013,1027,Llangewydd a Brynhyfryd 2,Llangewydd and Brynhyfryd 2,,
W01001012,W06000013,1005,Llangynwyd 1,Llangynwyd 1,,
W01001013,W06000013,1006,Llangynwyd 2,Llangynwyd 2,,
W01001014,W06000013,989,Maesteg Dwyrain 1,Maesteg East 1,,
W01001015,W06000013,990,Maesteg Dwyrain 2,Maesteg East 2,,
W01001016,W06000013,1007,Maesteg Dwyrain 3,Maesteg East 3,,
W01001017,W06000013,991,Maesteg Gorllewin 1,Maesteg West 1,,
W01001018,W06000013,992,Maesteg Gorllewin 2,Maesteg West 2,,
W01001019,W06000013,1008,Maesteg Gorllewin 3,Maesteg West 3,,
W01001020,W06000013,993,Maesteg Gorllewin 4,Maesteg West 4,,
W01001021,W06000013,1032,Morfa 1,Morfa 1,,
W01001022,W06000013,1033,Morfa 2,Morfa 2,,
W01001023,W06000013,1034,Morfa 3,Morfa 3,,
W01001024,W06000013,996,Nant-y-moel 1,Nant-y-moel 1,,
W01001025,W06000013,997,Nant-y-moel 2,Nant-y-moel 2,,
W01001026,W06000013,1028,Y Castellnewydd 1,Newcastle 1,,
W01001027,W06000013,1046,Y Castellnewydd 2,Newcastle 2,,
W01001028,W06000013,1035,Y Castellnewydd 3,Newcastle 3,,
W01001029,W06000013,1068,Newton (Pen-y-bont ar Ogwr) 1,Newton (Bridgend) 1,,
W01001030,W06000013,1069,Newton (Pen-y-bont ar Ogwr) 2,Newton (Bridgend) 2,,
W01001031,W06000013,1062,Notais 1,Nottage 1,,
W01001032,W06000013,1063,Notais 2,Nottage 2,,
W01001033,W06000013,998,Cwm Ogwr 1,Ogmore Vale 1,,
W01001034,W06000013,999,Cwm Ogwr 2,Ogmore Vale 2,,
W01001035,W06000013,1036,Hengastell 1,Oldcastle 1,,
W01001036,W06000013,1047,Hengastell 2,Oldcastle 2,,
W01001037,W06000013,1030,Hengastell 3,Oldcastle 3,,
W01001038,W06000013,1024,Pen-dre,Pendre,,
W01001039,W06000013,1020,Penprysg 1,Penprysg 1,,
W01001040,W06000013,1021,Penprysg 2,Penprysg 2,,
W01001041,W06000013,1031,Pen-y-fai,Pen-y-fai,,
W01001042,W06000013,1003,Pontycymer 1,Pontycymmer 1,,
W01001043,W06000013,1004,Pontycymer 2,Pontycymmer 2,,
W01001044,W06000013,1070,Porthcawl Dwyrain Canol 1,Porthcawl East Central 1,,
W01001045,W06000013,1071,Porthcawl Dwyrain Canol 2,Porthcawl East Central 2,,
W01001046,W06000013,1064,Porthcawl Gorllewin Canol 1,Porthcawl West Central 1,,
W01001047,W06000013,1065,Porthcawl Gorllewin Canol 2,Porthcawl West Central 2,,
W01001048,W06000013,1053,Y P?l 1,Pyle 1,,
W01001049,W06000013,1054,Y P?l 2,Pyle 2,,
W01001050,W06000013,1055,Y P?l 3,Pyle 3,,
W01001051,W06000013,1056,Y P?l 4,Pyle 4,,
W01001052,W06000013,1057,Y P?l 5,Pyle 5,,
W01001053,W06000013,1066,Rest Bay 1,Rest Bay 1,,
W01001054,W06000013,1067,Rest Bay 2,Rest Bay 2,,
W01001055,W06000013,1014,Sarn 1,Sarn 1,,
W01001056,W06000013,1015,Sarn 2,Sarn 2,,
W01001057,W06000013,1010,Ynysawdre 1,Ynysawdre 1,,
W01001058,W06000013,1011,Ynysawdre 2,Ynysawdre 2,,
W01001059,W06000014,1129,Baruc 1,Baruc 1,,
W01001060,W06000014,1130,Baruc 2,Baruc 2,,
W01001061,W06000014,1131,Baruc 3,Baruc 3,,
W01001062,W06000014,1105,Baruc 4,Baruc 4,,
W01001063,W06000014,1122,Buttrills 1,Buttrills 1,,
W01001064,W06000014,1106,Buttrills 2,Buttrills 2,,
W01001065,W06000014,1123,Buttrills 3,Buttrills 3,,
W01001066,W06000014,1132,Buttrills 4,Buttrills 4,,
W01001067,W06000014,1117,Catwg 1,Cadoc 1,,
W01001068,W06000014,1118,Catwg 2,Cadoc 2,,
W01001069,W06000014,1124,Catwg 3,Cadoc 3,,
W01001070,W06000014,1119,Catwg 4,Cadoc 4,,
W01001071,W06000014,1120,Catwg 5,Cadoc 5,,
W01001072,W06000014,1121,Catwg 6,Cadoc 6,,
W01001073,W06000014,1133,Castleland 1,Castleland 1,,
W01001075,W06000014,1134,Cornerswell 1,Cornerswell 1,,
W01001076,W06000014,1135,Cornerswell 2,Cornerswell 2,,
W01001077,W06000014,1136,Cornerswell 3,Cornerswell 3,,
W01001078,W06000014,1137,Cornerswell 4,Cornerswell 4,,
W01001079,W06000014,1125,Court 1,Court 1,,
W01001080,W06000014,1126,Court 2,Court 2,,
W01001081,W06000014,1111,Court 3,Court 3,,
W01001082,W06000014,1076,Y Bont-faen 1,Cowbridge 1,,
W01001083,W06000014,1077,Y Bont-faen 2,Cowbridge 2,,
W01001084,W06000014,1078,Y Bont-faen 3,Cowbridge 3,,
W01001085,W06000014,1079,Y Bont-faen 4,Cowbridge 4,,
W01001086,W06000014,1096,Dinas Powys 1,Dinas Powys 1,,
W01001087,W06000014,1097,Dinas Powys 2,Dinas Powys 2,,
W01001088,W06000014,1098,Dinas Powys 3,Dinas Powys 3,,
W01001089,W06000014,1099,Dinas Powys 4,Dinas Powys 4,,
W01001090,W06000014,1100,Dinas Powys 5,Dinas Powys 5,,
W01001091,W06000014,1101,Dyfan 1,Dyfan 1,,
W01001092,W06000014,1112,Dyfan 2,Dyfan 2,,
W01001093,W06000014,1107,Dyfan 3,Dyfan 3,,
W01001094,W06000014,1113,Gibbonsdown 1,Gibbonsdown 1,,
W01001095,W06000014,1114,Gibbonsdown 2,Gibbonsdown 2,,
W01001096,W06000014,1115,Gibbonsdown 3,Gibbonsdown 3,,
W01001097,W06000014,1116,Gibbonsdown 4,Gibbonsdown 4,,
W01001098,W06000014,1102,Illtud 1,Illtyd 1,,
W01001099,W06000014,1108,Illtud 2,Illtyd 2,,
W01001100,W06000014,1103,Illtud 3,Illtyd 3,,
W01001101,W06000014,1109,Illtud 4,Illtyd 4,,
W01001102,W06000014,1110,Illtud 5,Illtyd 5,,
W01001103,W06000014,1104,Illtud 6,Illtyd 6,,
W01001104,W06000014,1138,Llandoche,Llandough,,
W01001105,W06000014,1073,Llandw/Ewenni,Llandow/Ewenny,,
W01001106,W06000014,1080,Llanilltud Fawr 1,Llantwit Major 1,,
W01001107,W06000014,1081,Llanilltud Fawr 2,Llantwit Major 2,,
W01001108,W06000014,1086,Llanilltud Fawr 3,Llantwit Major 3,,
W01001109,W06000014,1082,Llanilltud Fawr 4,Llantwit Major 4,,
W01001110,W06000014,1083,Llanilltud Fawr 5,Llantwit Major 5,,
W01001111,W06000014,1084,Llanilltud Fawr 6,Llantwit Major 6,,
W01001112,W06000014,1085,Llanilltud Fawr 7,Llantwit Major 7,,
W01001113,W06000014,1092,Llanbedr-y-Fro,Peterston-super-Ely,,
W01001114,W06000014,1146,Plymouth (Bro Morgannwg) 1,Plymouth (The Vale of Glamorgan) 1,,
W01001115,W06000014,1147,Plymouth (Bro Morgannwg) 2,Plymouth (The Vale of Glamorgan) 2,,
W01001116,W06000014,1140,Plymouth (Bro Morgannwg) 3,Plymouth (The Vale of Glamorgan) 3,,
W01001117,W06000014,1087,Y Rhws 1,Rhoose 1,,
W01001118,W06000014,1088,Y Rhws 2,Rhoose 2,,
W01001119,W06000014,1093,Y Rhws 3,Rhoose 3,,
W01001120,W06000014,1089,Y Rhws 4,Rhoose 4,,
W01001121,W06000014,1090,Sain Tathan 1,St. Athan 1,,
W01001122,W06000014,1091,Sain Tathan 2,St. Athan 2,,
W01001123,W06000014,1141,St. Augustine's 1,St. Augustine's 1,,
W01001124,W06000014,1142,St. Augustine's 2,St. Augustine's 2,,
W01001125,W06000014,1143,St. Augustine's 3,St. Augustine's 3,,
W01001126,W06000014,1144,St. Augustine's 4,St. Augustine's 4,,
W01001127,W06000014,1074,Sant-y-Brid 1,St. Bride's Major 1,,
W01001128,W06000014,1075,Sant-y-Brid 2,St. Bride's Major 2,,
W01001129,W06000014,1139,Stanwell 1,Stanwell 1,,
W01001130,W06000014,1145,Stanwell 2,Stanwell 2,,
W01001131,W06000014,1148,Stanwell 3,Stanwell 3,,
W01001132,W06000014,1149,Sili 1,Sully 1,,
W01001133,W06000014,1150,Sili 2,Sully 2,,
W01001134,W06000014,1151,Sili 3,Sully 3,,
W01001135,W06000014,1094,Gwenf? 1,Wenvoe 1,,
W01001136,W06000014,1095,Gwenf? 2,Wenvoe 2,,
W01001137,W06000016,1368,Aberaman Gogledd 1,Aberaman North 1,,
W01001138,W06000016,1369,Aberaman Gogledd 2,Aberaman North 2,,
W01001139,W06000016,1370,Aberaman Gogledd 3,Aberaman North 3,,
W01001140,W06000016,1371,Aberaman De 1,Aberaman South 1,,
W01001141,W06000016,1372,Aberaman De 2,Aberaman South 2,,
W01001142,W06000016,1373,Aberaman De 3,Aberaman South 3,,
W01001143,W06000016,1383,Abercynon 1,Abercynon 1,,
W01001144,W06000016,1384,Abercynon 2,Abercynon 2,,
W01001145,W06000016,1385,Abercynon 3,Abercynon 3,,
W01001146,W06000016,1386,Abercynon 4,Abercynon 4,,
W01001147,W06000016,1402,Aberd?r Dwyrain 1,Aberdare East 1,,
W01001148,W06000016,1393,Aberd?r Dwyrain 2,Aberdare East 2,,
W01001149,W06000016,1397,Aberd?r Dwyrain 3,Aberdare East 3,,
W01001150,W06000016,1398,Aberd?r Dwyrain 4,Aberdare East 4,,
W01001151,W06000016,1399,Aberd?r Gorllewin / Llwytgred 1,Aberdare West/Llwydcoed 1,,
W01001152,W06000016,1394,Aberd?r Gorllewin / Llwytgred 2,Aberdare West/Llwydcoed 2,,
W01001153,W06000016,1395,Aberd?r Gorllewin / Llwytgred 3,Aberdare West/Llwydcoed 3,,
W01001154,W06000016,1400,Aberd?r Gorllewin / Llwytgred 4,Aberdare West/Llwydcoed 4,,
W01001155,W06000016,1396,Aberd?r Gorllewin / Llwytgred 5,Aberdare West/Llwydcoed 5,,
W01001156,W06000016,1401,Aberd?r Gorllewin / Llwytgred 6,Aberdare West/Llwydcoed 6,,
W01001157,W06000016,1516,Y Beddau 1,Beddau 1,,
W01001158,W06000016,1517,Y Beddau 2,Beddau 2,,
W01001159,W06000016,1518,Y Beddau 3,Beddau 3,,
W01001160,W06000016,1464,Brynna 1,Brynna 1,,
W01001161,W06000016,1465,Brynna 2,Brynna 2,,
W01001162,W06000016,1502,Gartholwg 1,Church Village 1,,
W01001164,W06000016,1484,Cilfynydd 1,Cilfynydd 1,,
W01001165,W06000016,1485,Cilfynydd 2,Cilfynydd 2,,
W01001166,W06000016,1444,Cwm Clydach 1,Cwm Clydach 1,,
W01001167,W06000016,1445,Cwm Clydach 2,Cwm Clydach 2,,
W01001168,W06000016,1403,Cwm-bach 1,Cwmbach 1,,
W01001169,W06000016,1404,Cwm-bach 2,Cwmbach 2,,
W01001170,W06000016,1405,Cwm-bach 3,Cwmbach 3,,
W01001171,W06000016,1414,Cymer (Rhondda Cynon Taf) 1,Cymmer (Rhondda Cynon Taf) 1,,
W01001172,W06000016,1420,Cymer (Rhondda Cynon Taf) 2,Cymmer (Rhondda Cynon Taf) 2,,
W01001173,W06000016,1421,Cymer (Rhondda Cynon Taf) 3,Cymmer (Rhondda Cynon Taf) 3,,
W01001174,W06000016,1422,Cymer (Rhondda Cynon Taf) 4,Cymmer (Rhondda Cynon Taf) 4,,
W01001175,W06000016,1406,Glynrhedynnog 1,Ferndale 1,,
W01001176,W06000016,1410,Glynrhedynnog 2,Ferndale 2,,
W01001177,W06000016,1407,Glynrhedynnog 3,Ferndale 3,,
W01001178,W06000016,1454,Gilfach Goch 1,Gilfach Goch 1,,
W01001179,W06000016,1455,Gilfach Goch 2,Gilfach Goch 2,,
W01001180,W06000016,1479,Glyn-coch 1,Glyncoch 1,,
W01001181,W06000016,1480,Glyn-coch 2,Glyncoch 2,,
W01001182,W06000016,1489,Y Graig (Rhondda Cynon Taf) 1,Graig (Rhondda Cynon Taf) 1,,
W01001183,W06000016,1490,Y Graig (Rhondda Cynon Taf) 2,Graig (Rhondda Cynon Taf) 2,,
W01001184,W06000016,1506,Y Ddraenen Wen 1,Hawthorn 1,,
W01001185,W06000016,1496,Y Ddraenen Wen 2,Hawthorn 2,,
W01001186,W06000016,1387,Hirwaun 1,Hirwaun 1,,
W01001187,W06000016,1388,Hirwaun 2,Hirwaun 2,,
W01001188,W06000016,1389,Hirwaun 3,Hirwaun 3,,
W01001189,W06000016,1466,Llanharan 1,Llanharan 1,,
W01001190,W06000016,1467,Llanharan 2,Llanharan 2,,
W01001191,W06000016,1473,Llanhari 1,Llanharry 1,,
W01001192,W06000016,1474,Llanhari 2,Llanharry 2,,
W01001193,W06000016,1468,Tref Llantrisant 1,Llantrisant Town 1,,
W01001194,W06000016,1469,Tref Llantrisant 2,Llantrisant Town 2,,
W01001195,W06000016,1470,Tref Llantrisant 3,Llantrisant Town 3,,
W01001196,W06000016,1510,Llanilltud Faerdref 1,Llantwit Fardre 1,,
W01001197,W06000016,1511,Llanilltud Faerdref 2,Llantwit Fardre 2,,
W01001198,W06000016,1512,Llanilltud Faerdref 3,Llantwit Fardre 3,,
W01001199,W06000016,1513,Llanilltud Faerdref 4,Llantwit Fardre 4,,
W01001200,W06000016,1437,Llwyn-y-pia 1,Llwyn-y-pia 1,,
W01001201,W06000016,1438,Llwyn-y-pia 2,Llwyn-y-pia 2,,
W01001202,W06000016,1408,Y Maerdy 1,Maerdy 1,,
W01001203,W06000016,1409,Y Maerdy 2,Maerdy 2,,
W01001204,W06000016,1374,Aberpennar Dwyrain 1,Mountain Ash East 1,,
W01001205,W06000016,1375,Aberpennar Dwyrain 2,Mountain Ash East 2,,
W01001206,W06000016,1376,Aberpennar Gorllewin 1,Mountain Ash West 1,,
W01001207,W06000016,1377,Aberpennar Gorllewin 2,Mountain Ash West 2,,
W01001208,W06000016,1378,Aberpennar Gorllewin 3,Mountain Ash West 3,,
W01001209,W06000016,1379,Penrhiw-ceiber 1,Penrhiwceiber 1,,
W01001210,W06000016,1380,Penrhiw-ceiber 2,Penrhiwceiber 2,,
W01001211,W06000016,1381,Penrhiw-ceiber 3,Penrhiwceiber 3,,
W01001212,W06000016,1382,Penrhiw-ceiber 4,Penrhiwceiber 4,,
W01001213,W06000016,1433,Pentre 1,Pentre 1,,
W01001214,W06000016,1434,Pentre 2,Pentre 2,,
W01001215,W06000016,1435,Pentre 3,Pentre 3,,
W01001216,W06000016,1436,Pentre 4,Pentre 4,,
W01001217,W06000016,1448,Pen-y-graig 1,Pen-y-graig 1,,
W01001218,W06000016,1449,Pen-y-graig 2,Pen-y-graig 2,,
W01001219,W06000016,1450,Pen-y-graig 3,Pen-y-graig 3,,
W01001220,W06000016,1451,Pen-y-graig 4,Pen-y-graig 4,,
W01001221,W06000016,1390,Pen-y-waun 1,Pen-y-waun 1,,
W01001222,W06000016,1391,Pen-y-waun 2,Pen-y-waun 2,,
W01001223,W06000016,1475,Pont-y-clun 1,Pont-y-clun 1,,
W01001224,W06000016,1476,Pont-y-clun 2,Pont-y-clun 2,,
W01001225,W06000016,1477,Pont-y-clun 3,Pont-y-clun 3,,
W01001226,W06000016,1478,Pont-y-clun 4,Pont-y-clun 4,,
W01001227,W06000016,1491,Tref Pontypridd 1,Pontypridd Town 1,,
W01001228,W06000016,1492,Tref Pontypridd 2,Pontypridd Town 2,,
W01001229,W06000016,1415,Y Porth 1,Porth 1,,
W01001230,W06000016,1416,Y Porth 2,Porth 2,,
W01001231,W06000016,1417,Y Porth 3,Porth 3,,
W01001232,W06000016,1423,Y Porth 4,Porth 4,,
W01001233,W06000016,1392,Rhigos,Rhigos,,
W01001234,W06000016,1493,Rhondda 1,Rhondda 1,,
W01001235,W06000016,1494,Rhondda 2,Rhondda 2,,
W01001236,W06000016,1495,Rhondda 3,Rhondda 3,,
W01001237,W06000016,1497,Rhydfelen Canol / Llan 1,Rhydfelen Central / Llan 1,,
W01001238,W06000016,1498,Rhydfelen Canol / Llan 2,Rhydfelen Central / Llan 2,,
W01001239,W06000016,1507,Rhydfelen Canol / Llan 3,Rhydfelen Central / Llan 3,,
W01001240,W06000016,1508,Ffynon Taf 1,Taffs Well 1,,
W01001241,W06000016,1509,Ffynon Taf 2,Taffs Well 2,,
W01001242,W06000016,1471,Tonysguboriau 1,Talbot Green 1,,
W01001243,W06000016,1472,Tonysguboriau 2,Talbot Green 2,,
W01001244,W06000016,1503,Ton-teg 1,Ton-teg 1,,
W01001245,W06000016,1504,Ton-teg 2,Ton-teg 2,,
W01001246,W06000016,1505,Ton-teg 3,Ton-teg 3,,
W01001247,W06000016,1446,Tonypandy 1,Tonypandy 1,,
W01001248,W06000016,1447,Tonypandy 2,Tonypandy 2,,
W01001249,W06000016,1460,Tonyrefail Dwyrain 1,Tonyrefail East 1,,
W01001250,W06000016,1461,Tonyrefail Dwyrain 2,Tonyrefail East 2,,
W01001251,W06000016,1462,Tonyrefail Dwyrain 3,Tonyrefail East 3,,
W01001252,W06000016,1463,Tonyrefail Dwyrain 4,Tonyrefail East 4,,
W01001253,W06000016,1456,Tonyrefail Gorllewin 1,Tonyrefail West 1,,
W01001255,W06000016,1457,Tonyrefail Gorllewin 3,Tonyrefail West 3,,
W01001256,W06000016,1486,Trallwng 1,Trallwng 1,,
W01001257,W06000016,1487,Trallwng 2,Trallwng 2,,
W01001258,W06000016,1488,Trallwng 3,Trallwng 3,,
W01001259,W06000016,1452,Trealaw 1,Trealaw 1,,
W01001260,W06000016,1439,Trealaw 2,Trealaw 2,,
W01001261,W06000016,1453,Trealaw 3,Trealaw 3,,
W01001262,W06000016,1499,Trefforest 1,Treforest 1,,
W01001263,W06000016,1500,Trefforest 2,Treforest 2,,
W01001264,W06000016,1501,Trefforest 3,Treforest 3,,
W01001265,W06000016,1424,Treherbert 1,Treherbert 1,,
W01001266,W06000016,1425,Treherbert 2,Treherbert 2,,
W01001267,W06000016,1426,Treherbert 3,Treherbert 3,,
W01001268,W06000016,1427,Treherbert 4,Treherbert 4,,
W01001269,W06000016,1428,Treorci 1,Treorchy 1,,
W01001270,W06000016,1429,Treorci 2,Treorchy 2,,
W01001271,W06000016,1430,Treorci 3,Treorchy 3,,
W01001272,W06000016,1431,Treorci 4,Treorchy 4,,
W01001273,W06000016,1432,Treorci 5,Treorchy 5,,
W01001274,W06000016,1411,Pendyrus 1,Tylorstown 1,,
W01001275,W06000016,1412,Pendyrus 2,Tylorstown 2,,
W01001276,W06000016,1413,Pendyrus 3,Tylorstown 3,,
W01001277,W06000016,1519,Ty'n-y-nant 1,Tyn-y-nant 1,,
W01001278,W06000016,1520,Ty'n-y-nant 2,Tyn-y-nant 2,,
W01001279,W06000016,1521,Ty'n-y-nant 3,Tyn-y-nant 3,,
W01001280,W06000016,1418,Ynys-hir 1,Ynyshir 1,,
W01001281,W06000016,1419,Ynys-hir 2,Ynyshir 2,,
W01001282,W06000016,1481,Ynys-y-bwl 1,Ynysybwl 1,,
W01001283,W06000016,1482,Ynys-y-bwl 2,Ynysybwl 2,,
W01001284,W06000016,1483,Ynys-y-bwl 3,Ynysybwl 3,,
W01001285,W06000016,1440,Ystrad 1,Ystrad 1,,
W01001286,W06000016,1441,Ystrad 2,Ystrad 2,,
W01001287,W06000016,1442,Ystrad 3,Ystrad 3,,
W01001288,W06000016,1443,Ystrad 4,Ystrad 4,,
W01001289,W06000024,1531,Bedlinog 1,Bedlinog 1,,
W01001290,W06000024,1537,Bedlinog 2,Bedlinog 2,,
W01001291,W06000024,1548,Cyfarthfa 1,Cyfarthfa 1,,
W01001292,W06000024,1523,Cyfarthfa 2,Cyfarthfa 2,,
W01001293,W06000024,1524,Cyfarthfa 3,Cyfarthfa 3,,
